Product Name,Timestamp,Product Price,Product URL
Acer Swift 3 Light Laptop...,Tue Dec 21 18:13:16 2021,$609.99,https://www.amazon.com/Acer-Octa-Core-Processor-Fingerprint-SF314-42-R9YN/dp/B08C5DJCXX/ref=sr_1_2?crid=7VQ69OOF661&keywords=sf314-511-51a3&qid=1637106608&qsid=131-0211403-8502744&s=electronics&sprefix=-511-51A3%2Celectronics%2C230&sr=1-2&sres=B08JQJ5RKK%2CB08C5DJCXX%2CB078211KBB%2CB086KJBKDW%2CB086KKKT15%2CB0866PQXKH%2CB07RF1XD36%2CB07DFKTKGG%2CB07RHQGS8V%2CB094MJ86LG%2CB08X6YQXRL%2CB01MTOLJ2V%2CB09DT646FQ%2CB09GLYD7PH%2CB07BJT451N%2CB07GNFSWCS%2CB08ZNWMDTK%2CB06XWNF87W%2CB0793T8L4Y%2CB08SW2RC6V&th=1
"HP 14 Laptop, AMD Ryzen 5...",Tue Dec 21 18:13:16 2021,$513.00,https://www.amazon.com/HP-Portable-Micro-Edge-Anti-Glare-14-fq1021nr/dp/B091D9652Z?linkCode=ll1&tag=briisdeals07-20&linkId=b8c3237ab9fd07a1ca4a44c6ba6b6b61&language=en_US&ref_=as_li_ss_tl&fbclid=IwAR2RpM7SvB1H2TLHtg7YYAYSDc18kAllLn5mhISmRwAOiDy5QQRcrfmxgOw&th=1
"Lenovo IdeaPad 3 14"" Lapt...",Tue Dec 21 18:13:16 2021,$285.23,https://www.amazon.com/Lenovo-IdeaPad-Processor-Graphics-81W0003QUS/dp/B0862269YP
PETKIT Cat Water Fountain...,Tue Dec 21 18:13:16 2021,$34.99,https://www.amazon.com/PETKIT-EVERSWEET-Automatic-Water-Shortage-Filter-Change/dp/B07H7J4PBQ/ref=sr_1_5?keywords=cat+water+fountain+no+led&qid=1637481369&qsid=131-0211403-8502744&sr=8-5&sres=B07SMPC3MD%2CB07F5KRPF2%2CB07SBXDMZQ%2CB07H7J4PBQ%2CB089F9YSGL%2CB07ZHZTWSH%2CB08ZN76HLW%2CB08NKG7QJ4%2CB09CY4DJ12%2CB08FR8QJV8%2CB07525CQ4C%2CB081Z6DB8B%2CB092V3C669%2CB0932WNZL2%2CB09BN94XPH%2CB07DLXF7XL%2CB07MKSC82B%2CB08ZCY1FJT%2CB09956HPSW%2CB087JR9YMX#
Acer Swift 3 Light Laptop...,Tue Dec 21 18:14:26 2021,$609.99,https://www.amazon.com/Acer-Octa-Core-Processor-Fingerprint-SF314-42-R9YN/dp/B08C5DJCXX/ref=sr_1_2?crid=7VQ69OOF661&keywords=sf314-511-51a3&qid=1637106608&qsid=131-0211403-8502744&s=electronics&sprefix=-511-51A3%2Celectronics%2C230&sr=1-2&sres=B08JQJ5RKK%2CB08C5DJCXX%2CB078211KBB%2CB086KJBKDW%2CB086KKKT15%2CB0866PQXKH%2CB07RF1XD36%2CB07DFKTKGG%2CB07RHQGS8V%2CB094MJ86LG%2CB08X6YQXRL%2CB01MTOLJ2V%2CB09DT646FQ%2CB09GLYD7PH%2CB07BJT451N%2CB07GNFSWCS%2CB08ZNWMDTK%2CB06XWNF87W%2CB0793T8L4Y%2CB08SW2RC6V&th=1
"HP 14 Laptop, AMD Ryzen 5...",Tue Dec 21 18:14:26 2021,$513.00,https://www.amazon.com/HP-Portable-Micro-Edge-Anti-Glare-14-fq1021nr/dp/B091D9652Z?linkCode=ll1&tag=briisdeals07-20&linkId=b8c3237ab9fd07a1ca4a44c6ba6b6b61&language=en_US&ref_=as_li_ss_tl&fbclid=IwAR2RpM7SvB1H2TLHtg7YYAYSDc18kAllLn5mhISmRwAOiDy5QQRcrfmxgOw&th=1
"Lenovo IdeaPad 3 14"" Lapt...",Tue Dec 21 18:14:26 2021,$285.23,https://www.amazon.com/Lenovo-IdeaPad-Processor-Graphics-81W0003QUS/dp/B0862269YP
PETKIT Cat Water Fountain...,Tue Dec 21 18:14:26 2021,$34.99,https://www.amazon.com/PETKIT-EVERSWEET-Automatic-Water-Shortage-Filter-Change/dp/B07H7J4PBQ/ref=sr_1_5?keywords=cat+water+fountain+no+led&qid=1637481369&qsid=131-0211403-8502744&sr=8-5&sres=B07SMPC3MD%2CB07F5KRPF2%2CB07SBXDMZQ%2CB07H7J4PBQ%2CB089F9YSGL%2CB07ZHZTWSH%2CB08ZN76HLW%2CB08NKG7QJ4%2CB09CY4DJ12%2CB08FR8QJV8%2CB07525CQ4C%2CB081Z6DB8B%2CB092V3C669%2CB0932WNZL2%2CB09BN94XPH%2CB07DLXF7XL%2CB07MKSC82B%2CB08ZCY1FJT%2CB09956HPSW%2CB087JR9YMX#
Acer Swift 3 Light Laptop...,Tue Dec 21 18:15:13 2021,$609.99,https://www.amazon.com/Acer-Octa-Core-Processor-Fingerprint-SF314-42-R9YN/dp/B08C5DJCXX/ref=sr_1_2?crid=7VQ69OOF661&keywords=sf314-511-51a3&qid=1637106608&qsid=131-0211403-8502744&s=electronics&sprefix=-511-51A3%2Celectronics%2C230&sr=1-2&sres=B08JQJ5RKK%2CB08C5DJCXX%2CB078211KBB%2CB086KJBKDW%2CB086KKKT15%2CB0866PQXKH%2CB07RF1XD36%2CB07DFKTKGG%2CB07RHQGS8V%2CB094MJ86LG%2CB08X6YQXRL%2CB01MTOLJ2V%2CB09DT646FQ%2CB09GLYD7PH%2CB07BJT451N%2CB07GNFSWCS%2CB08ZNWMDTK%2CB06XWNF87W%2CB0793T8L4Y%2CB08SW2RC6V&th=1
"HP 14 Laptop, AMD Ryzen 5...",Tue Dec 21 18:15:13 2021,$513.00,https://www.amazon.com/HP-Portable-Micro-Edge-Anti-Glare-14-fq1021nr/dp/B091D9652Z?linkCode=ll1&tag=briisdeals07-20&linkId=b8c3237ab9fd07a1ca4a44c6ba6b6b61&language=en_US&ref_=as_li_ss_tl&fbclid=IwAR2RpM7SvB1H2TLHtg7YYAYSDc18kAllLn5mhISmRwAOiDy5QQRcrfmxgOw&th=1
"Lenovo IdeaPad 3 14"" Lapt...",Tue Dec 21 18:15:13 2021,$285.23,https://www.amazon.com/Lenovo-IdeaPad-Processor-Graphics-81W0003QUS/dp/B0862269YP
PETKIT Cat Water Fountain...,Tue Dec 21 18:15:13 2021,$34.99,https://www.amazon.com/PETKIT-EVERSWEET-Automatic-Water-Shortage-Filter-Change/dp/B07H7J4PBQ/ref=sr_1_5?keywords=cat+water+fountain+no+led&qid=1637481369&qsid=131-0211403-8502744&sr=8-5&sres=B07SMPC3MD%2CB07F5KRPF2%2CB07SBXDMZQ%2CB07H7J4PBQ%2CB089F9YSGL%2CB07ZHZTWSH%2CB08ZN76HLW%2CB08NKG7QJ4%2CB09CY4DJ12%2CB08FR8QJV8%2CB07525CQ4C%2CB081Z6DB8B%2CB092V3C669%2CB0932WNZL2%2CB09BN94XPH%2CB07DLXF7XL%2CB07MKSC82B%2CB08ZCY1FJT%2CB09956HPSW%2CB087JR9YMX#
Acer Swift 3 Light Laptop...,Tue Dec 21 18:15:31 2021,$609.99,https://www.amazon.com/Acer-Octa-Core-Processor-Fingerprint-SF314-42-R9YN/dp/B08C5DJCXX/ref=sr_1_2?crid=7VQ69OOF661&keywords=sf314-511-51a3&qid=1637106608&qsid=131-0211403-8502744&s=electronics&sprefix=-511-51A3%2Celectronics%2C230&sr=1-2&sres=B08JQJ5RKK%2CB08C5DJCXX%2CB078211KBB%2CB086KJBKDW%2CB086KKKT15%2CB0866PQXKH%2CB07RF1XD36%2CB07DFKTKGG%2CB07RHQGS8V%2CB094MJ86LG%2CB08X6YQXRL%2CB01MTOLJ2V%2CB09DT646FQ%2CB09GLYD7PH%2CB07BJT451N%2CB07GNFSWCS%2CB08ZNWMDTK%2CB06XWNF87W%2CB0793T8L4Y%2CB08SW2RC6V&th=1
